brand_name,category,website,page_id
Bowflex,Sportswear,https://www.bowflex.com,
NordicTrack,Sportswear,https://www.nordictrack.com,
ProForm,Sportswear,https://www.proform.com,
Hydrow Rower,Sportswear,https://hydrow.com,
Ergatta,Sportswear,https://www.ergatta.com,
Concept2,Sportswear,https://www.concept2.com,
Aviron,Sportswear,https://avironactive.com,
Echelon,Sportswear,https://echelonfit.com,
MYX,Sportswear,https://www.beachbody.com,
Tempo,Sportswear,https://tempo.fit,
Tonal Gym,Sportswear,https://www.tonal.com,
Vitruvian,Sportswear,https://vitruvian.com,
Speediance,Sportswear,https://speediance.com,
Bells of Steel,Sportswear,https://bellsofsteel.us,
Rogue Fitness,Sportswear,https://www.roguefitness.com,
Rep Fitness,Sportswear,https://repfitness.com,
Titan Fitness,Sportswear,https://www.titan.fitness,
PRx Performance,Sportswear,https://www.prxperformance.com,
Force USA,Sportswear,https://www.forceusa.com,
Bowflex Dumbbells,Sportswear,https://www.bowflex.com,
Nuobell,Sportswear,https://nordicstrengthus.com,
Powerblock,Sportswear,https://www.powerblock.com,
Hyperwear,Sportswear,https://hyperwear.com,
TRX,Sportswear,https://www.trxtraining.com,
Whoop Body,Sportswear,https://www.whoop.com,
Liforme,Sportswear,https://liforme.com,
Manduka,Sportswear,https://www.manduka.com,
Gaiam,Sportswear,https://www.gaiam.com,
Alo Moves,Life Services,https://www.alomoves.com,
Obe Fitness,Life Services,https://obefitness.com,
Future,Life Services,https://www.future.co,
Ladder,Health & Medical,https://www.openladder.com,
Caliber,Life Services,https://caliberstrong.com,
Centr,Life Services,https://centr.com,
P.volve,Life Services,https://www.pvolve.com,
Melissa Wood Health,Life Services,https://melissawoodhealth.com,
Sculpt Society,Life Services,https://thesculptsociety.com,
Form Swim,Sportswear,https://www.formswim.com,
Speedo,Sportswear,https://www.speedo.com,
Tyr,Sportswear,https://www.tyr.com,
Roka Swim,Sportswear,https://www.roka.com,
Yeti Coolers,Travel & Hospitality,https://www.yeti.com,
RTIC,Travel & Hospitality,https://rtic.com,
Igloo,Travel & Hospitality,https://www.igloocoolers.com,
