brand_name,category,priority,website
Gymshark,Sportswear,9,https://www.gymshark.com
AG1,Health & Medical,9,https://www.drinkag1.com
Dr. Squatch,Men's Grooming,9,https://www.drsquatch.com
Manscaped,Men's Grooming,8,https://www.manscaped.com
Blenders Eyewear,Eyewear,8,https://www.blenderseyewear.com
Loop Earplugs,Wearable Tech Devices,8,https://www.loopearplugs.com
Fabletics,Sportswear,8,https://www.fabletics.com
Ridge Wallet,Bags & Wallets,8,https://www.ridge.com
HexClad,Kitchen Appliances,8,https://www.hexclad.com
Jones Road Beauty,Cosmetics,8,https://www.jonesroadbeauty.com
Vuori,Sportswear,7,https://www.vuoriclothing.com
Alo Yoga,Sportswear,7,https://www.aloyoga.com
True Classic,Men's Clothing,7,https://www.trueclassictees.com
Cuts Clothing,Men's Clothing,6,https://www.cutsclothing.com
SKIMS,Women's Clothing,7,https://www.skims.com
Hims,Health & Medical,7,https://www.forhims.com
Curology,Skincare,7,https://www.curology.com
The Ordinary,Skincare,7,https://www.theordinary.com
Rare Beauty,Cosmetics,7,https://www.rarebeauty.com
Glossier,Cosmetics,6,https://www.glossier.com
Ritual,Health & Medical,6,https://www.ritual.com
Seed,Health & Medical,6,https://www.seed.com
Liquid IV,Health & Medical,7,https://www.liquid-iv.com
Bloom Nutrition,Health & Medical,7,https://www.bloomnu.com
Vessi,Women's Shoes,6,https://www.vessi.com
Allbirds,Men's Shoes,6,https://www.allbirds.com
Rothy's,Women's Shoes,6,https://www.rothys.com
Brooklinen,Home Appliances,6,https://www.brooklinen.com
Our Place,Kitchen Appliances,7,https://www.fromourplace.com
Bissell,Home Appliances,6,https://www.bissell.com
Warby Parker,Eyewear,7,https://www.warbyparker.com
TheraPetMD,Pets,6,https://www.therapetmd.com
The Farmer's Dog,Pets,7,https://www.thefarmersdog.com
BarkBox,Pets,6,https://www.barkbox.com
Liquid Death,E-Commerce,7,https://www.liquiddeath.com
Olipop,E-Commerce,7,https://www.drinkolipop.com
Fabula Coffee,E-Commerce,6,https://www.fabulacoffee.com
